Date,Category,Action
1/20/2026,Mind,Website
1/20/2026,Body,Climbing
1/20/2026,Spirit,Quiet time
1/20/2026,Mind,3D Printing
1/20/2026,Exceptional,Started log!
1/20/2026,Spirit,Planning
1/21/2026,Mind,
1/21/2026,Body,Climbing
1/21/2026,Spirit,Cleaning
1/22/2026,Mind,
1/22/2026,Body,
1/22/2026,Spirit,LEGOing
1/23/2026,Mind,Piano
1/23/2026,Body,
1/23/2026,Spirit,
1/24/2026,Mind,Skiing
1/24/2026,Body,Skiing
1/24/2026,Spirit,Skiing
1/25/2026,Mind,Skiing
1/25/2026,Body,Skiing
1/25/2026,Spirit,Skiing
1/26/2026,Body,
1/26/2026,Spirit,
1/26/2026,Mind,Piano
1/27/2026,Body,Hiking
1/27/2026,Spirit,Hiking
1/27/2026,Mind,Planning
1/27/2026,Exceptional,Birthday!!
1/28/2026,Mind,3D Modeling
1/28/2026,Body,Climbing
1/28/2026,Spirit,Planning
1/29/2026,Mind,3D Modeling
1/29/2026,Body,Climbing
1/29/2026,Spirit,Reading
1/29/2026,Mind,Piano
1/30/2026,Body,Quick Home Workout
1/30/2026,Spirit,Reading
1/30/2026,Mind,3D Modeling
1/31/2026,Body,Skiing
1/31/2026,Spirit,Skiing
1/31/2026,Mind,Skiing
2/1/2026,Body,Skiing
2/1/2026,Spirit,Skiing
2/1/2026,Mind,Skiing
2/2/2026,Exceptional,Julia's birthday! Added Spanish to disciplines.
2/2/2026,Mind,3D Modeling
2/2/2026,Mind,3D Printing
2/2/2026,Body,Climbing
2/2/2026,Body,Pushed cars out of snow
2/2/2026,Spirit,Reading
2/2/2026,Spanish,Greet people and say goodbye
2/3/2026,Mind,3D Modeling
2/3/2026,Mind,Website Development
2/3/2026,Mind,3D Printing
2/3/2026,Body,Climbing
2/3/2026,Spirit,Reading
2/3/2026,Spanish,Introduce yourself and others
2/4/2026,Mind,Led puzzle seminar
2/4/2026,Body,Piano
2/4/2026,Spirit,Reading
2/4/2026,Spanish,Alphabet and useful phrases
2/5/2026,Mind,Web dev
2/5/2026,Body,Piano
2/5/2026,Spirit,Reading
2/5/2026,Spanish,Nationalities and languages
2/6/2026,Mind,"Web dev, AI useage"
2/6/2026,Body,Piano
2/6/2026,Spirit,Reading
2/6/2026,Spanish,Say where you're from
2/7/2026,Mind,
2/7/2026,Body,Piano
2/7/2026,Spirit,
2/7/2026,Spanish,Pronounce different letters
2/8/2026,Mind,
2/8/2026,Body,Piano
2/8/2026,Spirit,
2/8/2026,Spanish,Say how you're doing
2/9/2026,Mind,
2/9/2026,Body,Piano
2/9/2026,Spirit,
2/9/2026,Spanish,
2/10/2026,Mind,
2/10/2026,Body,Piano
2/10/2026,Spirit,
2/10/2026,Spanish,
2/11/2026,Mind,Project
2/11/2026,Body,Piano
2/11/2026,Spirit,
2/11/2026,Spanish,Give and ask for directions
2/12/2026,Mind,Project
2/12/2026,Body,Piano
2/12/2026,Spirit,
2/12/2026,Spanish,Order food and drinks
4/13/2026,Mind,Planning
4/13/2026,Body,Climbing
4/13/2026,Spirit,Quiet Time
4/14/2026,Mind,Taxes :p
4/14/2026,Body,Piano
4/14/2026,Spirit,Quiet Time
4/15/2026,Mind,Website
4/15/2026,Body,Climbing
4/15/2026,Spirit,Quiet Time
4/16/2026,Mind,3D Printing
4/16/2026,Body,Piano
4/16/2026,Spirit,Quiet Time
4/17/2026,Mind,3D Modeling
4/17/2026,Body,Climbing
4/17/2026,Spirit,Quiet Time
4/18/2026,Mind,Camping
4/18/2026,Body,Camping
4/18/2026,Spirit,Quiet Time
4/19/2026,Mind,Camping
4/19/2026,Body,Camping
4/19/2026,Spirit,Quiet Time
4/20/2026,Mind,Jamie
4/20/2026,Body,Hiking
4/20/2026,Spirit,Quiet Time
4/21/2026,Mind,Jamie
4/21/2026,Body,Piano
4/21/2026,Spirit,Quiet Time
4/22/2026,Mind,Therapy
4/22/2026,Body,Climbing
4/22/2026,Spirit,Quiet Time
4/23/2026,Mind,Date Night
4/23/2026,Body,Piano
4/23/2026,Spirit,Quiet Time
4/24/2026,Mind,3D Modeling
4/24/2026,Body,Climbing
4/24/2026,Spirit,Quiet Time
4/25/2026,Mind,Baking
4/25/2026,Body,Putt-Putt
4/25/2026,Spirit,Quiet Time
4/26/2026,Mind,3D Printing
4/26/2026,Body,Piano
4/26/2026,Spirit,Quiet Time
4/27/2026,Mind,
4/27/2026,Body,Climbing
4/27/2026,Spirit,Quiet Time
4/28/2026,Mind,
4/28/2026,Body,Piano
4/28/2026,Spirit,
4/29/2026,Mind,
4/29/2026,Body,Climbing
4/29/2026,Spirit,
4/30/2026,Mind,
4/30/2026,Body,Piano
4/30/2026,Spirit,
5/1/2026,Mind,
5/1/2026,Body,Climbing
5/1/2026,Spirit,
5/2/2026,Mind,
5/2/2026,Body,Piano
5/2/2026,Spirit,
5/3/2026,Mind,
5/3/2026,Body,Climbing
5/3/2026,Spirit,
5/4/2026,Mind,
5/4/2026,Body,Climbing
5/4/2026,Spirit,
5/5/2026,Mind,Website
5/5/2026,Body,Running
5/5/2026,Spirit,Reading
5/6/2026,Mind,
5/6/2026,Body,Climbing
5/6/2026,Spirit,Reading
5/7/2026,Mind,
5/7/2026,Body,Trail Work
5/7/2026,Body,Trail Run
5/7/2026,Spirit,
5/8/2026,Mind,Attended two defences
5/8/2026,Body,Climbing
5/8/2026,Spirit,
5/9/2026,Mind,Caving
5/9/2026,Body,Caving
5/9/2026,Spirit,Caving
5/10/2026,Mind,Piano
5/10/2026,Body,Climbing
5/10/2026,Spirit,Concert
5/11/2026,Mind,Piano
5/11/2026,Body,Rest Day
5/11/2026,Spirit,Movie
5/12/2026,Mind,Website
5/12/2026,Body,Running
5/12/2026,Spirit,
5/13/2026,Mind,Website
5/13/2026,Body,Climbing
5/13/2026,Spirit,Volunteering
5/14/2026,Mind,Website
5/14/2026,Body,Climbing
5/14/2026,Spirit,Reading
5/15/2026,Mind,Website
5/15/2026,Body,Driving
5/15/2026,Spirit,Writing
5/16/2026,Mind,Website
5/16/2026,Body,Yard Work
5/16/2026,Spirit,Friendship
5/17/2026,Mind,Website
5/17/2026,Body,Hiking
5/17/2026,Spirit,Friendship
5/18/2026,Mind,
5/18/2026,Body,Frisbee
5/18/2026,Spirit,Quiet Time
5/19/2026,Mind,
5/19/2026,Body,
5/19/2026,Spirit,Family Time
5/20/2026,Mind,
5/20/2026,Body,
5/20/2026,Spirit,Family Time
5/21/2026,Mind,
5/21/2026,Body,Yard Work
5/21/2026,Spirit,Family Time
5/22/2026,Mind,Reading
5/22/2026,Body,Driving
5/22/2026,Spirit,Quiet Time
5/23/2026,Mind,
5/23/2026,Body,Mountain Biking
5/23/2026,Spirit,Friendship
5/24/2026,Mind,
5/24/2026,Body,Mountain Biking
5/24/2026,Spirit,Friendship
5/25/2026,Mind,
5/25/2026,Body,
5/25/2026,Spirit,Friendship
5/26/2026,Mind,
5/26/2026,Body,Climbing
5/26/2026,Spirit,
5/27/2026,Mind,
5/27/2026,Body,
5/27/2026,Spirit,
5/28/2026,Mind,
5/28/2026,Body,
5/28/2026,Spirit,
5/29/2026,Mind,
5/29/2026,Body,
5/29/2026,Spirit,
5/30/2026,Mind,
5/30/2026,Body,
5/30/2026,Spirit,
5/31/2026,Mind,
5/31/2026,Body,
5/31/2026,Spirit,
6/1/2026,Mind,Planning
6/1/2026,Body,Climbing
6/1/2026,Spirit,Table
6/2/2026,Mind,Puzzle building
6/2/2026,Body,Running
6/2/2026,Spirit,Bible
6/3/2026,Mind,
6/3/2026,Body,Swimming
6/3/2026,Spirit,Bible
6/4/2026,Mind,
6/4/2026,Body,Climbing
6/4/2026,Spirit,Bible
6/5/2026,Mind,
6/5/2026,Body,Pickle Ball
6/5/2026,Spirit,Bible
6/6/2026,Mind,
6/6/2026,Body,Climbing
6/6/2026,Spirit,
6/7/2026,Mind,Dog watching
6/7/2026,Body,Dog watching
6/7/2026,Spirit,Dog watching
6/8/2026,Mind,
6/8/2026,Body,
6/8/2026,Spirit,Bible
